S3 Link,url,bread_crumb1,bread_crumb2,bread_crumb3,title,customer_star_ratings_delivery,customer_star_ratings_dining,latitude,longitude,restaurant_id,serves_cuisine,timing,address,pincode,contact_information,order_online_available,order_online_currently_available,hygiene_information,image_url,license_number,no_of_customer_reviews_delivery,no_of_customer_reviews_dining,price_range,promo_offer,restaurant_availability_status,website_sku
http://smt-tools.amazon.com/s3resource?id=d876d0b0-4376-11ec-833d-279c06510dc3&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/sri-venkateshwara-sweet-meat-stall-jp-nagar,Bengaluru,South Bangalore,Yeshwantpur,Sri Venkateshwara Sweet Meat Stall,4.6,3.7,12.90624087,77.59085923,18561653,"North Indian, Mithai, Street Food, Beverages, Chinese",Opens at 11:30am,"291,5th Cross Road,5th Phase,JP Nagar,Bangalore,India",,918527000000,Yes,No,,"https://b.zmtcdn.com/data/reviews_photos/b43/a157cbec075e5cec035e2160b1844b43_1552582714.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/reviews_photos/a53/421b532eedd248c0d9c7fb8001869a53_1509297015.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/reviews_photos/011/7d58a39315a9fafd1e9e64ca503b9011_1505565829.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/reviews_photos/5d1/663a346ff03ce7a5315f2e0eac0455d1_1552582718.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",11200000000000,110,57,â‚¹250 for one order (approx.),,Currently closed for online ordering,ncr/d-k-fast-food-nit-faridabad
http://smt-tools.amazon.com/s3resource?id=29fb7bc0-4304-11ec-a89a-9bddf734242e&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/polar-bear-bannerghatta-road,Bengaluru,South Bangalore,Whitefield,Polar Bear,4.5,4,12.89226855,77.59791043,60692,"Waffle, Shake, Ice Cream, Desserts, Beverages",11am â€“ 2am (Today),"71,1st Main Road,Doresanipalya Ward,Panduranga Nagar,Bannerghatta Road,Bangalore,India",,919773000000,Yes,Yes,,"https://b.zmtcdn.com/data/pictures/2/18900472/9ac23ceb8fb7a1dff04fc1b097a13a07.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/pictures/chains/2/50812/8df8a263138e17c03ae748b65782109b.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/2/50812/ccb31f359042a97246e8920535ed7045.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/2/50812/155a41c35dda65f9500386fa54aa0af6.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",11200000000000,"3,352",301,â‚¹300 for two people (approx.),,,mumbai/the-bar-stock-exchange-vikhroli
http://smt-tools.amazon.com/s3resource?id=789acb00-435e-11ec-a961-010ed2fb3e04&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/five-star-chicken-2-hennur,Bengaluru,North Bangalore,Frazer Town,Five Star Chicken,4.5,3.2,13.03084503,77.63547007,18534082,Fast Food,Opens tomorrow at 11am,"7,Banjara Crest Apartment,Near indian Academy College,Hennur,Bangalore,India",,91934830688,Yes,No,,"https://b.zmtcdn.com/data/pictures/chains/9/55129/b26b84aa9c6e76fe20ac4a89010e2b63_featured_v2.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/pictures/chains/9/55129/288bbb35b71ee52dc5d4ae47741ea7f5.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/9/55129/414ee600b0125e63a3257eb6602251c4.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/9/55129/ab288a98fb04f260083230006131962c.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",21200000000000,192,13,â‚¹500 for two people (approx.),,,hyderabad/paruchuri-foods-s-r-nagar
http://smt-tools.amazon.com/s3resource?id=7ac39050-430f-11ec-a523-53ba296f6467&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/apsara-ice-creams-bannerghatta-road-bangalore,Bengaluru,South Bangalore,Electronic City,Apsara Ice Creams,4.5,4.1,12.89362486,77.6109349,18601634,"Ice Cream, Desserts",Opens at 11:30am,"1065 B,5th Cross,Vijaya Bank Layout,Bilekahalli,Bannerghatta Road,Bangalore,India",,919168000000,Yes,No,,"https://b.zmtcdn.com/data/pictures/chains/3/18468843/c36e9afcc8e20563ae6f5320594f99eb.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/pictures/chains/3/18468843/0636bbf6f1db059ca5479d7d6379962a.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/3/18468843/b450a5833111b46266e07ab191103a9c.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/3/18468843/d62308e15c35b5a8fefba6fdc9ba21dd.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",21200000000000,457,106,â‚¹150 for one order (approx.),,,mumbai/v-caf%C3%A9-sion
http://smt-tools.amazon.com/s3resource?id=9cb34140-432f-11ec-b97f-096400dc86bc&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/apsara-ice-creams-hsr-bangalore,Bengaluru,South Bangalore,BTM,Apsara Ice Creams,4.5,4.3,12.91516971,77.63556194,18658897,"Ice Cream, Desserts","12noon â€“ 12midnight, 12:30am â€“ 1am (Today)","32/1,Ground Floor,14th Cross,9th Main,Sector 6,HSR Layout,HSR,Bangalore,India",,"+919221812222, +912516069222",Yes,No,,"https://b.zmtcdn.com/data/pictures/chains/3/18468843/c36e9afcc8e20563ae6f5320594f99eb.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/pictures/chains/3/18468843/0636bbf6f1db059ca5479d7d6379962a.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/7/18658897/aa06ffcbb8477c1495cced0086afbfb8.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/3/18468843/b450a5833111b46266e07ab191103a9c.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",11200000000000,845,280,â‚¹300 for two people (approx.),,Currently closed for online ordering,mumbai/four-seasons-dombivali-east
http://smt-tools.amazon.com/s3resource?id=fb2f4e50-4332-11ec-8ada-6306cb467737&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/aishwarya-sweets-rajajinagar,Bengaluru,West Bangalore,Thippasandra,Aishwarya Sweets,4.5,,13.00399684,77.5504712,57895,"Mithai, Street Food",Opens tomorrow at 8am,"266/6,10th Cross,1st N Block,Rajajinagar,Bangalore,India",,"+919920323255, +912249682777, +919833411195",Yes,No,,"https://b.zmtcdn.com/data/pictures/5/57895/a183c4a0d2822e4c2c7b0c900ce75eab_featured_v2.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/pictures/5/57895/443a438fd3fc93ad21f68fea91b99989.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/5/57895/67173561f47ebcf490848e5541fa0e3c.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/5/57895/a02b39342dc2705c9078d92a95dc310d.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",11200000000000,249,0,â‚¹500 for one order (approx.),,Currently closed for online ordering,mumbai/the-orange-mint-vashi-navi-mumbai
http://smt-tools.amazon.com/s3resource?id=999591e0-4300-11ec-adf5-898fe45431c9&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/swizzle-1-hebbal-bangalore,Bengaluru,North Bangalore,Marathahalli,Swizzle,4.8,,13.04679675,77.6010751,19218957,Beverages,Permanently Closed,"2193,Prestige Misty Waters,Hebbal,Bangalore,India",,917022000000,No,NA,Well Sanitized Kitchen|Rider Hand Wash,"https://b.zmtcdn.com/data/pictures/chains/7/19218957/cab2b0db51155544ca15b3958640487c.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/pictures/7/19218957/4ede47f8015bba0cad5d2603c347b78f.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/7/19218957/4aaea535eebdcfd697c2ca26c2288ae9.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/reviews_photos/e4c/cbcbb834b6eee95cb05097999f16de4c_1580195984.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",,77,0,â‚¹600 for two people (approx.),,Currently closed for online ordering,mumbai/taste-of-malai-gola-malad-west
http://smt-tools.amazon.com/s3resource?id=7346afa0-435b-11ec-acb1-1324cc5f789d&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/chats-point-basavanagudi-bangalore,Bengaluru,South Bangalore,Kalyan Nagar,Chats Point,4.5,3.7,12.93998524,77.56668583,18728045,"Fast Food, Street Food, Shake","Temporarily closed for dining, will be back soon!","14/15 th Main,2nd Cross,Near BMS Hostel,Basavanagudi,Bangalore,India",,914028000000,Yes,No,,"https://b.zmtcdn.com/data/reviews_photos/558/ea7d0008b64b1d399c7cc4a0b0452558_1540223112.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/pictures/5/18728045/a7f7748594014029f7eb2e7e31fefdbd.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/5/18728045/5e37b238641abe9371cbe0f8ee4d6172.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/reviews_photos/f21/fb0336290658181f62156ae518be2f21_1540223186.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",21200000000000,63,12,â‚¹200 for one order (approx.),,,hyderabad/nrs-anand-tiffins-sd-road-secunderabad
http://smt-tools.amazon.com/s3resource?id=575a7610-4300-11ec-989d-9558859228c3&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/polar-bear-1-nagarbhavi-bangalore,Bengaluru,West Bangalore,Kaggadasapura,Polar Bear,4.5,3.8,12.97992344,77.51034401,19226248,"Waffle, Shake, Ice Cream, Desserts, Beverages",Opens at 11am,"178,Lower Ground Floor,2nd Block,Jnanabharathi,Nagarbhavi,Bangalore,India",,917775000000,Yes,No,,"https://b.zmtcdn.com/data/pictures/2/18900472/9ac23ceb8fb7a1dff04fc1b097a13a07.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/pictures/chains/2/50812/8df8a263138e17c03ae748b65782109b.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/2/50812/ccb31f359042a97246e8920535ed7045.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/2/50812/155a41c35dda65f9500386fa54aa0af6.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",11200000000000,"2,091",24,â‚¹400 for two people (approx.),,Currently closed for online ordering,mumbai/food-colony-ulhasnagar-thane
http://smt-tools.amazon.com/s3resource?id=52a8de70-430c-11ec-91c2-27702da962a7&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/waffle-stories-malleshwaram,Bengaluru,West Bangalore,Koramangala 8th Block,Waffle Stories,4.6,3.9,13.01161191,77.55505577,58578,"Desserts, Beverages, Ice Cream",Opens tomorrow at 10:30am,"3rd Floor,Orion Mall,Brigade Gateway,Dr. Rajkumar Road,Malleshwaram,Bangalore,India",,918097000000,Yes,No,,"https://b.zmtcdn.com/data/pictures/chains/8/58578/c000c75f5c330fdfb6c40b0350bb97fb.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/pictures/chains/8/58578/a361cf313c5c5bec4ee1e4dd0b49fd7d.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/8/58578/d14d37c9b4bedd78ce1cfcd49b3bfb14.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/8/58578/9f286b19f327bdb1f36ee72b92803d2a.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",11200000000000,329,362,â‚¹400 for two people (approx.),,Currently closed for online ordering,mumbai/jaynil-chinese-point-1-mira-road
